Cycle,Value
855,001101110
856,011011100
857,110111001
858,101110010
859,011100100
860,111101001
861,111010011
862,110100110
863,101001100
864,010011001
865,100110011
866,001000110
867,010001100
868,100011000
869,000110000
870,001100001
871,011000010
872,110100101
873,101001011
874,010010111
875,100101110
876,001011101
877,010111011
878,101010111
879,010101110
880,101011100
881,010111000
882,101110001
883,011100010
884,111100101
885,111001011
886,110010111
887,100101111
888,001011111
889,010111111
890,101011111
891,010111110
892,101111101
893,011111010
894,111110101
895,111101010
896,111110100
897,111101000
898,111010001
899,110100011
900,101000111
901,010001111
902,100111110
903,001111100
904,011111001
905,111110011
906,111100110
907,111001101
908,110111010
909,101110100
910,011101000
911,111010001
912,110100010
913,101000101
914,010101011
915,101010110
916,010101100
917,101011000
918,010110000
919,101100001
920,011100010
921,111000100
922,110001001
923,100010010
924,000100100
925,001001000
926,010110000
927,101100001
928,011000011
929,110000110
930,100001101
931,000011011
932,000010110
933,000101101
934,001011010
935,010110100
936,101101001
937,011010011
938,110000111
939,100001111
940,000011111
941,000111111
942,001111111
943,011111111
944,111011110
945,110111100
946,101111000
947,011110001
948,111100011
949,111000111
950,110101111
951,101011111
952,010111110
953,101111101
954,011111010
955,111110101
956,111001011
957,110010111
958,100101110
959,001011100
960,010111001
961,101110011
962,011000110
963,110001100
964,100011001
965,000110010
966,001100101
967,011001010
968,110110101
969,101101010
970,011010101
971,110101010
972,101010101
973,010101010
974,101110100
975,011101000
976,111010000
977,110100000
978,101000001
979,010000011
980,100100111
981,001001111
982,010011110
983,100111100
984,001111000
985,011110001
986,111000011
987,110000111
988,100001111
989,000011111
990,000111111
991,001111111
992,011011110
993,110111101
994,101111010
995,011110101
996,111101011
997,111010111
998,110001110
999,100011101
1000,000111010
1001,001110101
1002,011101011
1003,111010110
1004,110001101
1005,100011011
1006,000110110
1007,001101100
1008,011011000
1009,110110001
1010,101000010
1011,010000101
1012,100001010
1013,000010101
1014,000101011
1015,001010110
1016,010001100
1017,100011000
1018,000110000
1019,001100000
1020,011000000
1021,110000000
1022,100100001
1023,001000011
1024,010000110
1025,100001100
1026,000011001
1027,000110011
1028,001000110
1029,010001100
1030,100011000
1031,000110001
1032,001100011
1033,011000110
1034,110101100
1035,101011001
1036,010110010
1037,101100101
1038,011001011
1039,110010110
1040,100001101
1041,000011011
1042,000110111
1043,001101110
1044,011011100
1045,110111001
1046,101010010
1047,010100100
1048,101001000
1049,010010001
1050,100100011
1051,001000111
1052,010101111
1053,101011110
1054,010111100
1055,101111000
1056,011110000
1057,111100001
1058,111100011
1059,111000111
1060,110001111
1061,100011111
1062,000111110
1063,001111101
1064,011011010
1065,110110101
1066,101101010
1067,011010100
1068,110101001
1069,101010011
1070,010000110
1071,100001100
1072,000011001
1073,000110011
1074,001100111
1075,011001110
1076,110111101
1077,101111010
1078,011110100
1079,111101000
1080,111010001
1081,110100010
1082,101100101
1083,011001011
1084,110010110
1085,100101100
1086,001011001
1087,010110011
1088,101000110
1089,010001101
1090,100011010
1091,000110101
1092,001101011
1093,011010110
1094,110001101
1095,100011011
1096,000110110
1097,001101101
1098,011011010
1099,110110101
1100,101001011
1101,010010111
1102,100101111
1103,001011110
1104,010111101
1105,101111011
1106,011010110
1107,110101101
1108,101011011
1109,010110110
1110,101101101
1111,011011011
1112,110010110
1113,100101100
1114,001011001
1115,010110010
1116,101100101
1117,011001011
1118,110110110
1119,101101100
1120,011011001
1121,110110011
1122,101100110
1123,011001101
1124,110111011
1125,101110110
1126,011101100
1127,111011001
1128,110110010
1129,101100100
1130,011101001
1131,111010010
1132,110100100
1133,101001001
1134,010010011
1135,100100111
1136,001101110
1137,011011100
1138,110111001
1139,101110011
1140,011100110
1141,111001100
1142,110111001
1143,101110010
1144,011100100
1145,111001000
1146,110010001
1147,100100010
1148,001100100
1149,011001000
1150,110010000
1151,100100001
1152,001000011
1153,010000110
1154,100101100
1155,001011001
1156,010110011
1157,101100111
1158,011001111
1159,110011110
1160,100011101
1161,000111010
1162,001110101
1163,011101010
1164,111010100
1165,110101000
1166,101110001
1167,011100010
1168,111000100
1169,110001001
1170,100010011
1171,000100110
1172,001101101
1173,011011010
1174,110110101
1175,101101011
1176,011010111
1177,110101111
1178,101111111
1179,011111110
1180,111111101
1181,111111010
1182,111110100
1183,111101000
1184,111110000
1185,111100000
1186,111000001
1187,110000010
1188,100000101
1189,000001011
1190,000110110
1191,001101101
1192,011011010
1193,110110101
1194,101101010
1195,011010101
1196,110001010
1197,100010101
1198,000101010
1199,001010101
1200,010101011
1201,101010110
1202,010001100
1203,100011000
1204,000110000
1205,001100001
1206,011000010
1207,110000100
1208,100101000
1209,001010001
1210,010100011
1211,101000111
1212,010001111
1213,100011110
1214,000011100
1215,000111001
1216,001110011
1217,011100111
1218,111001110
1219,110011101
1220,100011011
1221,000110110
1222,001101101
1223,011011011
1224,110110111
1225,101101110
1226,011111101
1227,111111011
1228,111110110
1229,111101100
1230,111011001
1231,110110010
1232,101000101
1233,010001011
1234,100010110
1235,000101101
1236,001011010
1237,010110101
1238,101001011
1239,010010111
1240,100101111
1241,001011111
1242,010111111
1243,101111111
1244,011011111
1245,110111111
1246,101111110
1247,011111101
1248,111111011
1249,111110110
1250,111001100
1251,110011001
1252,100110010
1253,001100100
1254,011001000
1255,110010000
1256,100000001
1257,000000011
1258,000000110
1259,000001101
1260,000011010
1261,000110101
1262,001001011
1263,010010110
1264,100101101
1265,001011011
1266,010110111
1267,101101111
1268,011111110
1269,111111101
1270,111111010
1271,111110101
1272,111101010
1273,111010101
1274,110001010
1275,100010101
1276,000101010
1277,001010100
1278,010101001
1279,101010010
1280,010000101
1281,100001010
1282,000010101
1283,000101010
1284,001010100
1285,010101001
1286,101110010
1287,011100100
1288,111001000
1289,110010001
1290,100100010
1291,001000101
1292,010101011
1293,101010110
1294,010101100
1295,101011001
1296,010110010
1297,101100101
1298,011101011
1299,111010110
1300,110101100
1301,101011001
1302,010110010
1303,101100101
1304,011101010
1305,111010100
1306,110101000
1307,101010000
1308,010100000
1309,101000000
1310,010100001
1311,101000010
1312,010000101
1313,100001010
1314,000010101
1315,000101011
1316,001110111
1317,011101111
1318,111011110
1319,110111101
1320,101111010
1321,011110100
1322,111001001
1323,110010011
1324,100100110
1325,001001101
1326,010011010
1327,100110101
1328,001001011
1329,010010110
1330,100101101
1331,001011010
1332,010110101
1333,101101011
1334,011110111
1335,111101111
1336,111011111
1337,110111110
1338,101111100
1339,011111000
1340,111010000
1341,110100000
1342,101000001
1343,010000010
1344,100000100
1345,000001001
1346,000110010
1347,001100101
1348,011001010
1349,110010100
1350,100101000
1351,001010001
1352,010000010
1353,100000100
1354,000001001
1355,000010011
1356,000100111
1357,001001110
1358,010111100
1359,101111001
1360,011110010
1361,111100101
1362,111001011
1363,110010111
1364,100001111
1365,000011111
1366,000111111
1367,001111110
1368,011111101
1369,111111011
1370,111010110
1371,110101100
1372,101011001
1373,010110010
1374,101100101
1375,011001011
1376,110110111
1377,101101110
1378,011011101
1379,110111010
1380,101110100
1381,011101000
1382,111110000
1383,111100000
1384,111000001
1385,110000011
1386,100000111
1387,000001111
1388,000111111
1389,001111111
1390,011111111
1391,111111110
1392,111111100
1393,111111000
1394,111010000
1395,110100000
1396,101000001
1397,010000011
1398,100000110
1399,000001101
1400,000111011
1401,001110111
1402,011101111
1403,111011111
1404,110111110
1405,101111100
1406,011011000
1407,110110001
1408,101100010
1409,011000101
1410,110001010
1411,100010101
1412,000001011
1413,000010110
1414,000101101
1415,001011011
1416,010110111
1417,101101111
1418,011111111
1419,111111111
1420,111111110
1421,111111100
1422,111111000
1423,111110000
1424,111000001
1425,110000011
1426,100000111
1427,000001110
1428,000011100
1429,000111001
1430,001010011
1431,010100111
1432,101001110
1433,010011101
1434,100111011
1435,001110110
1436,011001100
1437,110011000
1438,100110000
1439,001100001
1440,011000010
1441,110000100
1442,100101001
1443,001010011
1444,010100111
1445,101001110
1446,010011101
1447,100111011
1448,001010111
1449,010101111
1450,101011110
1451,010111101
1452,101111011
1453,011110110
1454,111001101
1455,110011011
1456,100110110
1457,001101100
1458,011011000
1459,110110001
1460,101000011
1461,010000111
1462,100001110
1463,000011100
1464,000111001
1465,001110011
1466,011000111
1467,110001110
1468,100011101
1469,000111010
1470,001110101
1471,011101011
1472,111110111
1473,111101110
1474,111011101
1475,110111011
1476,101110110
1477,011101100
1478,111111000
1479,111110000
1480,111100000
1481,111000001
1482,110000011
1483,100000111
1484,000101110
1485,001011100
1486,010111001
1487,101110010
1488,011100100
1489,111001000
1490,110110001
1491,101100010
1492,011000101
1493,110001010
1494,100010101
1495,000101010
1496,001110101
1497,011101011
1498,111010110
1499,110101101
1500,101011011
1501,010110110
1502,101001101
1503,010011011
1504,100110111
1505,001101110
1506,011011100
1507,110111001
1508,101010011
1509,010100110
1510,101001100
1511,010011000
1512,100110001
1513,001100010
1514,011100100
1515,111001000
1516,110010001
1517,100100010
1518,001000101
1519,010001010
1520,100110101
1521,001101010
1522,011010100
1523,110101000
1524,101010001
1525,010100010
1526,101100100
1527,011001001
1528,110010010
1529,100100100
1530,001001001
1531,010010010
1532,100000100
1533,000001001
1534,000010010
1535,000100100
1536,001001000
1537,010010000
1538,100000001
1539,000000011
1540,000000110
1541,000001100
1542,000011000
1543,000110001
1544,001000010
1545,010000100
1546,100001000
1547,000010000
1548,000100001
1549,001000010
1550,010100100
1551,101001000
1552,010010001
1553,100100011
1554,001000111
1555,010001110
1556,100111101
1557,001111010
1558,011110101
1559,111101010
1560,111010101
1561,110101010
1562,101110101
1563,011101010
1564,111010100
1565,110101000
1566,101010001
1567,010100010
1568,101100101
1569,011001011
1570,110010110
1571,100101101
1572,001011011
1573,010110111
1574,101001111
1575,010011111
1576,100111111
1577,001111110
1578,011111101
1579,111111011
1580,111010111
1581,110101110
1582,101011101
1583,010111011
1584,101110111
1585,011101110
1586,111111100
1587,111111000
1588,111110000
1589,111100000
1590,111000001
1591,110000011
1592,100100110
1593,001001101
1594,010011010
1595,100110100
1596,001101000
1597,011010000
1598,110000001
1599,100000011
1600,000000111
1601,000001110
1602,000011100
1603,000111001
1604,001010010
1605,010100101
1606,101001010
1607,010010100
1608,100101001
1609,001010011
1610,010000111
1611,100001110
1612,000011101
1613,000111011
1614,001110111
1615,011101111
1616,111111111
1617,111111110
1618,111111100
1619,111111001
1620,111110010
1621,111100100
1622,111101001
1623,111010011
1624,110100110
1625,101001101
1626,010011011
1627,100110111
1628,001001111
1629,010011110
1630,100111101
1631,001111011
1632,011110111
1633,111101111
1634,111111111
1635,111111110
1636,111111100
1637,111111000
1638,111110000
1639,111100000
1640,111100000
1641,111000001
1642,110000011
1643,100000110
1644,000001101
1645,000011010
1646,000010101
1647,000101011
1648,001010110
1649,010101101
1650,101011010
1651,010110100
1652,101001000
1653,010010001
1654,100100011
1655,001000110
1656,010001100
1657,100011000
1658,000010000
1659,000100001
1660,001000010
1661,010000100
1662,100001000
1663,000010001
1664,000000010
1665,000000100
1666,000001000
1667,000010001
1668,000100011
1669,001000110
1670,010101100
1671,101011000
1672,010110000
1673,101100001
1674,011000011
1675,110000110
1676,100101100
1677,001011001
1678,010110011
1679,101100110
1680,011001101
1681,110011010
1682,100010100
1683,000101000
1684,001010000
1685,010100001
1686,101000010
1687,010000101
1688,100101011
1689,001010111
1690,010101111
1691,101011111
1692,010111110
1693,101111101
1694,011011010
1695,110110101
1696,101101010
1697,011010101
1698,110101011
1699,101010111
1700,010001111
1701,100011110
1702,000111100
1703,001111000
1704,011110001
1705,111100011
1706,111100111
1707,111001111
1708,110011111
1709,100111110
1710,001111100
1711,011111001
1712,111010010
1713,110100100
1714,101001001
1715,010010010
1716,100100101
1717,001001011
1718,010110110
1719,101101101
1720,011011011
1721,110110111
1722,101101110
1723,011011101
1724,110011010
1725,100110100
1726,001101000
1727,011010001
1728,110100011
1729,101000111
1730,010101111
1731,101011110
1732,010111100
1733,101111001
1734,011110010
1735,111100101
1736,111101010
1737,111010101
1738,110101010
1739,101010100
1740,010101000
1741,101010000
1742,010000000
1743,100000000
1744,000000001
1745,000000010
1746,000000100
1747,000001000
1748,000110001
1749,001100011
1750,011000110
1751,110001101
1752,100011011
1753,000110110
1754,001001101
1755,010011010
1756,100110101
1757,001101010
1758,011010100
1759,110101001
1760,101110010
1761,011100100
1762,111001000
1763,110010000
1764,100100000
1765,001000001
1766,010100010
1767,101000100
1768,010001001
1769,100010010
1770,000100100
1771,001001000
1772,010110001
1773,101100011
1774,011000111
1775,110001111
1776,100011111
1777,000111110
1778,001011101
1779,010111011
1780,101110111
1781,011101110
1782,111011100
1783,110111000
1784,101010001
1785,010100010
1786,101000100
1787,010001000
1788,100010000
1789,000100000
1790,001100000
1791,011000000
1792,110000000
1793,100000001
1794,000000011
1795,000000110
1796,000101101
1797,001011010
1798,010110101
1799,101101010
1800,011010101
1801,110101011
1802,101110111
1803,011101110
1804,111011100
1805,110111000
1806,101110000
1807,011100000
1808,111100001
1809,111000011
1810,110000111
1811,100001110
1812,000011101
1813,000111011
1814,001010111
1815,010101111
1816,101011110
1817,010111100
1818,101111001
1819,011110010
1820,111000100
1821,110001001
1822,100010011
1823,000100111
1824,001001110
1825,010011100
1826,100011001
1827,000110010
1828,001100101
1829,011001010
1830,110010100
1831,100101000
1832,001110000
1833,011100001
1834,111000010
1835,110000100
1836,100001001
1837,000010011
1838,000000111
1839,000001110
1840,000011100
1841,000111001
1842,001110011
1843,011100111
1844,111101111
1845,111011111
1846,110111110
1847,101111101
1848,011111010
1849,111110101
1850,111001010
1851,110010101
1852,100101010
1853,001010101
1854,010101011
1855,101010110
1856,010001101
1857,100011010
1858,000110100
1859,001101000
1860,011010000
1861,110100001
1862,101100011
1863,011000111
1864,110001110
1865,100011101
1866,000111010
1867,001110101
1868,011001010
1869,110010100
1870,100101000
1871,001010000
1872,010100001
1873,101000010
1874,010100101
1875,101001010
1876,010010101
1877,100101011
1878,001010111
1879,010101111
1880,101111111
1881,011111110
1882,111111101
1883,111111011
1884,111110110
1885,111101100
1886,111111001
1887,111110010
1888,111100100
1889,111001001
1890,110010011
1891,100100110
1892,001101100
1893,011011000
1894,110110001
1895,101100011
1896,011000111
1897,110001110
1898,100111101
1899,001111010
1900,011110101
1901,111101011
1902,111010111
1903,110101110
1904,101111100
1905,011111000
1906,111110001
1907,111100011
1908,111000111
1909,110001111
1910,100111111
1911,001111110
1912,011111101
1913,111111011
1914,111110110
1915,111101100
1916,111111000
1917,111110000
1918,111100000
1919,111000000
1920,110000001
1921,100000011
1922,000100111
1923,001001110
1924,010011100
1925,100111001
1926,001110010
1927,011100101
1928,111101011
1929,111010111
1930,110101110
1931,101011100
1932,010111000
1933,101110001
1934,011000010
1935,110000100
1936,100001001
1937,000010011
1938,000100111
1939,001001110
1940,010111101
1941,101111011
1942,011110110
1943,111101100
1944,111011001
1945,110110010
1946,101000100
1947,010001001
1948,100010010
1949,000100100
1950,001001000
1951,010010000
1952,100000000
1953,000000001
1954,000000010
1955,000000101
1956,000001010
1957,000010100
1958,000001001
1959,000010010
1960,000100101
1961,001001010
1962,010010100
1963,100101001
1964,001110010
1965,011100101
1966,111001010
1967,110010100
1968,100101000
1969,001010001
1970,010000011
1971,100000110
1972,000001101
1973,000011010
1974,000110101
1975,001101011
1976,011110111
1977,111101111
1978,111011111
1979,110111111
1980,101111110
1981,011111100
1982,111011001
1983,110110010
1984,101100100
1985,011001001
1986,110010010
1987,100100100
1988,001101000
1989,011010000
1990,110100001
1991,101000010
1992,010000101
1993,100001010
1994,000110101
1995,001101011
1996,011010110
1997,110101101
1998,101011011
1999,010110110
2000,101001100
2001,010011001
2002,100110011
2003,001100111
2004,011001110
2005,110011100
2006,100011000
2007,000110000
2008,001100001
2009,011000010
2010,110000100
2011,100001001
2012,000110010
2013,001100101
2014,011001010
2015,110010101
2016,100101010
2017,001010101
2018,010001011
2019,100010110
2020,000101100
2021,001011000
2022,010110001
2023,101100011
2024,011100110
2025,111001100
2026,110011001
2027,100110011
2028,001100110
2029,011001100
2030,110111000
2031,101110000
2032,011100000
2033,111000000
2034,110000001
2035,100000011
2036,000100110
2037,001001100
2038,010011000
2039,100110000
2040,001100000
2041,011000000
2042,110100000
2043,101000001
2044,010000011
2045,100000110
2046,000001101
2047,000011010
2048,000010100
2049,000101001
2050,001010010
2051,010100100
2052,101001000
2053,010010001
2054,100000011
2055,000000111
2056,000001110
2057,000011100
2058,000111001
2059,001110011
2060,011000110
2061,110001100
2062,100011001
2063,000110011
2064,001100111
2065,011001110
2066,110111100
2067,101111000
2068,011110000
2069,111100001
2070,111000011
2071,110000111
2072,100101110
2073,001011101
2074,010111011
2075,101110110
2076,011101100
2077,111011000
2078,110010000
2079,100100000
2080,001000001
2081,010000010
2082,100000100
2083,000001001
2084,000110011
2085,001100111
2086,011001110
2087,110011101
2088,100111010
2089,001110100
2090,011001001
2091,110010010
2092,100100100
2093,001001001
2094,010010010
2095,100100101
2096,001101010
2097,011010100
2098,110101001
2099,101010010
2100,010100100
2101,101001000
2102,010110001
2103,101100011
2104,011000111
2105,110001110
2106,100011101
2107,000111010
2108,001010100
2109,010101001
2110,101010010
2111,010100101
2112,101001010
2113,010010101
2114,100001011
2115,000010111
2116,000101111
2117,001011110
2118,010111101
2119,101111011
2120,011010111
2121,110101111
2122,101011111
2123,010111111
2124,101111111
2125,011111110
2126,111011101
2127,110111010
2128,101110100
2129,011101000
2130,111010000
2131,110100000
2132,101100000
2133,011000001
2134,110000010
2135,100000100
2136,000001001
2137,000010010
2138,000000101
2139,000001010
